RecipeId,ReadyInMinutes,Servings,Vegetarian,Vegan,GlutenFree,DairyFree,Healthy,Cheap,Popular,CookingMinutes,PreparationMinutes,IngredientCount,HealthScore,PricePerServing,Calories,FatContent,SaturatedFatContent,CarbohydrateContent,SugarContent,FiberContent,ProteinContent,SodiumContent,CholesterolContent,Cuisine_European,Cuisine_Mediterranean,Cuisine_Asian,Cuisine_Mexican,Cuisine_Italian,Cuisine_American,Cuisine_Indian,Cuisine_Middle Eastern,Cuisine_French,Cuisine_Greek,DishType_lunch,DishType_main course,DishType_main dish,DishType_dinner,DishType_side dish,DishType_antipasti,DishType_starter,DishType_snack,DishType_appetizer,DishType_antipasto,TotalTime,PrepCookRatio,CaloriesPerServing,ProteinRatio,FatRatio,CarbRatio,IngredientPerMinute,InstructionLength,IngredientLength,UniqueIngredientCount,Has_olive oil,Has_onion,Has_garlic,Has_salt,Has_bell pepper,Has_salt and pepper,Has_pepper,Has_water,Has_parsley,Has_lemon juice,Has_garlic cloves,Has_carrots,Has_butter,Has_cilantro,Has_tomatoes,Has_oregano,Has_thyme,Has_soy sauce,Has_extra virgin olive oil,Has_canned tomatoes
715415,55.0,8.0,0,0,1,1,1,0,1,45.0,10.0,13.0,100.0,300.45,477.24,20.34,3.1,51.78,10.55,23.79,26.93,1335.78,29.75,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,55.0,0.21739130434782608,59.655,5.631063900970224,4.253094680495149,10.827199732351957,0.23214285714285715,0,169,13,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1
716406,20.0,2.0,1,1,1,1,1,0,0,25.0,10.0,6.0,100.0,178.37,217.43,7.76,1.13,28.83,11.54,11.17,10.84,11.26,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,35.0,0.38461538461538464,108.715,4.962688275420043,3.552625555097743,13.198736437302566,0.16666666666666666,0,48,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
644387,45.0,2.0,1,1,1,1,1,0,0,25.0,10.0,4.0,83.0,69.09,169.87,14.98,2.05,7.46,4.12,2.7,2.11,40.51,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,35.0,0.38461538461538464,84.935,1.2348569087610461,8.76689881196231,4.365892198747585,0.1111111111111111,0,44,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
715446,490.0,6.0,0,0,1,1,1,0,0,480.0,10.0,10.0,100.0,270.41,433.82,11.63,4.47,40.53,3.49,11.92,44.24,1253.65,99.88,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,490.0,0.02079002079002079,72.30333333333333,10.174325008049308,2.6746699783818593,9.321098385538845,0.020366598778004074,0,113,10,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
782601,45.0,6.0,1,1,1,1,1,0,0,25.0,10.0,20.0,96.0,168.43,392.8,6.45,0.96,69.36,10.19,16.25,18.13,1111.47,0.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,35.0,0.38461538461538464,65.46666666666667,4.6038598273235145,1.637887252412392,17.61300152361605,0.5555555555555556,0,203,20,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
716426,30.0,8.0,1,1,1,1,0,0,1,15.0,15.0,13.0,51.0,119.36,248.3,12.96,4.18,28.91,3.23,5.81,7.06,444.09,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,30.0,0.9375,31.0375,2.831929402326514,5.1985559566787005,11.596470116325712,0.41935483870967744,0,143,13,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
716004,45.0,6.0,1,0,1,1,1,0,0,25.0,10.0,13.0,100.0,186.91,538.7,14.62,1.97,84.48,17.87,14.78,20.86,221.29,0.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,35.0,0.38461538461538464,89.78333333333335,3.8651102464332032,2.708912358717806,15.65314063368538,0.3611111111111111,0,156,13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
716627,35.0,2.0,1,1,1,1,1,0,1,25.0,10.0,10.0,60.0,106.02,445.69,4.09,0.7,86.11,7.35,19.36,19.14,1058.31,0.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,35.0,0.38461538461538464,222.845,4.28485079137657,0.9156238106964562,19.277351183147147,0.2777777777777778,0,110,10,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
664147,45.0,6.0,1,1,1,1,1,0,0,25.0,10.0,8.0,94.0,49.7,242.41,1.29,0.26,43.37,2.23,10.66,16.13,206.16,0.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,35.0,0.38461538461538464,40.401666666666664,6.626679265436917,0.5299700094490777,17.81767388357093,0.2222222222222222,0,57,8,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
640941,30.0,4.0,1,0,1,1,1,0,0,25.0,10.0,7.0,100.0,169.38,231.8,15.91,2.03,19.79,5.33,8.18,7.94,64.76,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,35.0,0.38461538461538464,57.95,3.410652920962199,6.834192439862543,8.500859106529209,0.19444444444444445,0,78,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
